# source http://cdsarc.u-strasbg.fr/viz-bin/qcat?J/A+A/578/A110#sRM-F.62
# PairID, IDinpair, RAdeg, DECdeg, z
   1 1 146.29984  -0.12000 0.03070
   1 2 146.35577  -0.14337 0.03074
   2 1 148.97949  -0.19028 0.02095
   2 2 149.09021  -0.25143 0.02140
   3 1 130.45488  50.78642 0.05439
   3 2 130.41447  50.78843 0.05434
   4 1 152.77184   1.22408 0.03315
   4 2 152.77502   1.22543 0.03308
   5 1 150.46953   3.01132 0.04409
   5 2 150.42798   3.00499 0.04407
   6 1 165.31924   3.56292 0.03959
   6 2 165.39044   3.62927 0.03913
   7 1 234.18839  -0.82555 0.03769
   7 2 234.09445  -0.75367 0.03763
   8 1 166.44983  -0.88605 0.04576
   8 2 166.40683  -0.84816 0.04616
   9 1 166.88168   0.78311 0.03947
   9 2 166.95514   0.74438 0.03907
  10 1 216.84370   3.57650 0.03426
  10 2 216.94078   3.57275 0.03443
  11 1 214.11528   4.96137 0.05752
  11 2 214.13596   4.95466 0.05762
  12 1 152.28516  62.39300 0.05257
  12 2 152.22504  62.40221 0.05306
  13 1 202.63229  -0.60333 0.05424
  13 2 202.63329  -0.60383 0.05416
  14 1 222.54306   1.38348 0.04421
  14 2 222.56126   1.39238 0.04440
  15 1 163.02826  -0.56079 0.01847
  15 2 163.33650  -0.60639 0.01850
  16 1 164.52493   0.41215 0.02595
  16 2 164.38809   0.43778 0.02608
  17 1 115.85580  37.94538 0.04644
  17 2 115.85791  37.90681 0.04645
  18 1 116.32951  38.57980 0.03639
  18 2 116.19583  38.69862 0.03622
  19 1 117.41248  42.96706 0.03072
  19 2 117.45258  42.96692 0.03106
  20 1 117.04338  41.88949 0.04085
  20 2 116.88280  41.91230 0.04117
  21 1 200.22772  -0.94119 0.04783
  21 2 200.24373  -0.89593 0.04816
  22 1 182.47688  -0.91817 0.07915
  22 2 182.49745  -0.89696 0.07946
  23 1 182.64824  -0.17150 0.05039
  23 2 182.67624  -0.15893 0.05031
  24 1 190.22348   1.00836 0.02291
  24 2 190.23911   0.98723 0.02313
  25 1 171.24675  64.31398 0.04692
  25 2 171.48494  64.33144 0.04716
  26 1 135.11252  53.06594 0.07178
  26 2 135.15518  53.04673 0.07178
  27 1 136.38133  56.02385 0.02545
  27 2 136.31006  56.08897 0.02532
  28 1 220.40767  62.33820 0.03166
  28 2 220.25502  62.40200 0.03155
  29 1 246.72791  47.43396 0.03262
  29 2 246.79654  47.50172 0.03271
  30 1 210.66769  65.01020 0.03453
  30 2 210.67465  65.09902 0.03454
  31 1 241.77797  52.13324 0.03373
  31 2 241.64522  52.16489 0.03393
  32 1 244.11453  52.20482 0.04754
  32 2 244.13025  52.18834 0.04734
  33 1 196.50647  -0.99777 0.02265
  33 2 196.34512  -0.92707 0.02272
  34 1 197.66844  -0.49223 0.06327
  34 2 197.64108  -0.50366 0.06373
  35 1 135.85724  50.91713 0.03595
  35 2 135.86333  50.86696 0.03575
  36 1 203.46307  -1.23276 0.04718
  36 2 203.45787  -1.24113 0.04759
  37 1 211.35526  -0.81134 0.04918
  37 2 211.35071  -0.79291 0.04923
  38 1 154.63553  -0.99233 0.04931
  38 2 154.63702  -0.90919 0.04948
  39 1 217.54543  -1.04102 0.03022
  39 2 217.54752  -1.04152 0.02986
  40 1  19.69105  14.99325 0.02292
  40 2  19.69371  14.98966 0.02275
  41 1 227.20686   0.17807 0.05399
  41 2 227.28676   0.25347 0.05402
  42 1 226.16757   0.60452 0.04017
  42 2 226.13846   0.61678 0.04041
  43 1 187.29918  68.00540 0.03845
  43 2 187.35912  67.86263 0.03890
  44 1 169.41788  65.74996 0.05363
  44 2 169.36612  65.73980 0.05373
  45 1 178.12740  66.38644 0.04587
  45 2 178.17371  66.30757 0.04597
  46 1 183.05919  67.04914 0.05902
  46 2 183.03273  67.02731 0.05889
  47 1 112.93354  38.33655 0.05267
  47 2 112.87923  38.38676 0.05279
  48 1  54.15416  -6.75830 0.07764
  48 2  54.07714  -6.76304 0.07777
  49 1  46.62694  -6.86184 0.03631
  49 2  46.53163  -6.73503 0.03641
  50 1 124.35053  51.73206 0.04255
  50 2 124.39604  51.76435 0.04226
  51 1 239.59987  54.93108 0.03805
  51 2 239.59279  54.84332 0.03784
  52 1 125.28120  46.84876 0.03950
  52 2 125.34243  46.74373 0.03973
  53 1 123.32154  46.37236 0.00756
  53 2 122.78463  46.46565 0.00759
  54 1 127.28370  50.11279 0.04335
  54 2 127.30283  50.11454 0.04321
  55 1 123.96029  47.81100 0.04022
  55 2 124.02682  47.81607 0.04015
  56 1 124.64568  50.64545 0.04277
  56 2 124.56335  50.67071 0.04283
  57 1 222.08932  -0.80754 0.05623
  57 2 222.04453  -0.81648 0.05591
  58 1 221.01456   0.00002 0.03387
  58 2 221.02727  -0.00589 0.03429
  59 1 231.15054  54.74792 0.02937
  59 2 231.14050  54.69156 0.02965
  60 1 230.32278  56.92690 0.05099
  60 2 230.39116  56.89814 0.05122
  61 1 193.79333  -2.16114 0.05143
  61 2 193.86526  -2.20688 0.05170
  62 1 195.22708  -1.34665 0.02274
  62 2 195.20482  -1.36011 0.02275
  63 1 193.56825  -2.03455 0.01648
  63 2 193.37213  -1.74203 0.01643
  64 1 147.73431  62.18570 0.02456
  64 2 148.17542  62.28087 0.02443
  65 1 160.06480  65.49197 0.03391
  65 2 160.34311  65.39489 0.03403
  66 1 164.31667  66.75301 0.03782
  66 2 164.14070  66.61528 0.03815
  67 1 162.20374  66.61014 0.04167
  67 2 162.26457  66.57311 0.04213
  68 1 204.19972   1.15392 0.04706
  68 2 204.21863   1.18821 0.04695
  69 1 159.52148   1.74511 0.03466
  69 2 159.53658   1.78723 0.03516
  70 1 157.69835   1.48388 0.05101
  70 2 157.67906   1.40163 0.05077
  71 1 234.15553  55.05769 0.03990
  71 2 234.03622  55.09938 0.03954
  72 1 237.62035  55.01802 0.04148
  72 2 237.63463  54.95165 0.04160
  73 1 189.77612  -2.50821 0.02325
  73 2 189.77132  -2.48356 0.02299
  74 1 187.98927  -2.86640 0.02435
  74 2 188.04163  -3.03758 0.02417
  75 1 224.44359  59.34241 0.03919
  75 2 224.37025  59.29560 0.03954
  76 1 248.29536  -0.21327 0.02517
  76 2 248.27534  -0.18906 0.02557
  77 1 121.30779  46.33166 0.02909
  77 2 121.35712  46.28740 0.02890
  78 1 259.21936  57.46362 0.05005
  78 2 259.03262  57.52291 0.04986
  79 1 126.55972  48.28012 0.05375
  79 2 126.40179  48.25409 0.05377
  80 1 132.83058  53.93639 0.02805
  80 2 132.89220  54.02814 0.02836
  81 1 129.86823  52.25101 0.04433
  81 2 129.93770  52.17054 0.04401
  82 1 135.05695  53.91798 0.02536
  82 2 135.09558  53.94483 0.02518
  83 1 133.64554  57.16671 0.01687
  83 2 133.77872  56.82737 0.01655
  84 1 184.70850  64.35281 0.03078
  84 2 185.09200  64.30709 0.03094
  85 1 169.07796  64.23710 0.05086
  85 2 169.14558  64.23906 0.05097
  86 1 171.71959  64.84410 0.03732
  86 2 171.83656  64.96337 0.03750
  87 1 166.42117   5.70652 0.05013
  87 2 166.38454   5.70760 0.04994
  88 1 167.70222   2.40464 0.06590
  88 2 167.69659   2.40027 0.06557
  89 1 159.63095  58.78543 0.03116
  89 2 159.58456  58.81000 0.03162
  90 1 127.62593  42.80906 0.04544
  90 2 127.62656  42.80507 0.04541
  91 1 259.63177  30.87839 0.04493
  91 2 259.69763  30.93199 0.04535
  92 1 223.62166   2.28772 0.03413
  92 2 223.71382   2.40066 0.03409
  93 1 248.59451  48.06199 0.03531
  93 2 248.46785  47.99530 0.03479
  94 1 251.83946  44.70271 0.02540
  94 2 251.71558  44.88761 0.02556
  95 1 201.56987  58.68328 0.02314
  95 2 201.64026  58.68065 0.02332
  96 1 195.52670  59.72115 0.02729
  96 2 195.26404  59.76728 0.02712
  97 1 141.25220  54.09120 0.03215
  97 2 141.28670  54.06220 0.03223
  98 1 165.13596   3.00140 0.05313
  98 2 165.13800   3.01490 0.05358
  99 1 122.52740  38.01709 0.04042
  99 2 122.57264  38.07739 0.04094
 100 1 234.46521   3.45370 0.04388
 100 2 234.51080   3.44117 0.04417
 101 1 133.28981   2.24642 0.03524
 101 2 133.31943   2.24301 0.03473
 102 1 162.99179   3.79207 0.01210
 102 2 163.00107   3.83584 0.01199
 103 1 164.56775   4.58358 0.02202
 103 2 164.62825   4.63101 0.02217
