#"Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances" "Cosmicflows-3 Distances"
#pgc Dist Nd RAJ DeJ Ks Vcmb Vmod
#%7s %6.2f %1d %8s %9s %5.2f %5d %5d
#--- Mpc  hms damas mag km/s km/s
#"The Catalogue of Principal Galaxies (PGC) Number" "Luminosity distance (weighted average if more than one source)" "Number of distance sources" "Right Ascension (J2000)" "Declination (J2000)" "2MASS Ks magnitude, extinction corrected from Huchra et al. 2012 or else Lavaux-Hudson 2011" "Velocity in CMB standard of rest (Fixsen et al. 1996)" "Velocity in CMB standard of rest adjusted in accordance with a cosmological model with Omega_matter=0.27 and Omega_Lambda=0.73"
4 50.58 1 000003.5 +230515 0.00 4109 4154
27 150.66 1 000023.5 -065610 0.00 10959 11275
40 116.95 1 000035.6 -014547 0.00 6919 7045
51 240.99 1 000035.8 -403432 0.00 14771 15342
55 73.79 1 000037.4 +333603 0.00 4454 4507
64 211.84 1 000052.3 -355037 0.00 15331 15946
66 182.81 1 000053.2 -355911 0.00 14731 15300
70 117.49 1 000056.1 +202016 11.26 6447 6557
76 97.72 1 000058.9 +285441 11.01 6583 6698
82 114.82 1 000106.0 -535931 0.00 9251 9476
94 67.61 1 000200.9 +803830 0.00 4001 4043
114 134.28 1 000134.1 -361900 0.00 14413 14957
115 188.80 1 000145.3 -042049 0.00 14044 14561
123 168.27 1 000136.0 -144455 0.00 11064 11385
124 81.66 1 000136.7 +033020 0.00 5988 6083
143 0.96 4 000158.2 -152739 9.00 -441 -441
145 134.28 1 000157.2 -275957 0.00 9427 9661
165 86.30 1 000223.0 +271238 0.00 7280 7420
176 103.28 1 000234.8 -034238 10.98 6109 6208
179 71.12 1 000239.9 +084413 11.48 5175 5246
181 12.13 1 000242.4 -802053 0.00 1942 1952
182 151.36 1 000244.1 -435802 0.00 11615 11969
186 115.88 1 000246.4 +185310 10.91 7539 7689
196 211.84 1 000254.6 -354320 0.00 14372 14913
201 127.06 1 000257.0 +041231 11.71 8267 8448
205 105.20 1 000305.7 -015449 10.42 6910 7036
212 206.06 1 000311.2 +155755 10.65 10871 11182
218 14.45 3 000314.9 +160844 7.18 694 695
224 165.96 1 000321.4 -500450 0.00 10153 10424
226 92.47 1 000320.4 +083708 11.26 11584 11937
250 92.04 2 000335.0 +231202 10.95 6917 7044
255 19.41 2 000343.2 +151305 0.00 520 521
259 109.14 1 000344.3 +161112 0.00 6055 6152
262 136.14 1 000348.7 -433706 0.00 8811 9016
265 118.58 1 000351.7 -504559 0.00 11708 12068
279 29.38 2 000358.9 +204508 8.40 1959 1970
280 108.64 1 000401.2 -512338 11.66 10310 10590
282 154.88 1 000401.9 -111007 0.00 11001 11319
291 155.60 1 000414.0 -511324 0.00 10944 11258
292 167.49 1 000415.1 -503845 11.49 11682 12041
293 103.75 1 000412.1 -143125 0.00 6933 7060
296 106.66 1 000413.0 +104725 10.86 7616 7769
298 48.08 1 000414.7 +223517 0.00 4103 4148
301 78.70 1 000425.0 +061039 0.00 4730 4789
303 42.07 1 000424.5 +312819 11.16 4645 4702
305 44.46 1 000428.8 +055050 0.00 2760 2780
322 99.08 1 000442.2 -302901 0.00 7702 7858
331 133.66 1 000451.7 -542914 0.00 10733 11035
337 121.34 1 000458.2 -600135 0.00 8909 9118
354 105.68 1 000506.3 +065512 9.66 5793 5881
362 96.38 1 000511.2 -502053 0.00 10533 10825
366 94.62 1 000513.9 +064618 10.23 5940 6033
367 100.46 1 000516.7 -162837 10.19 7095 7228
374 182.81 1 000527.8 -503455 0.00 10429 10716
382 162.93 1 000529.0 -501613 10.78 10185 10458
383 143.88 1 000529.3 -493713 11.40 10490 10780
388 8.71 1 000531.9 -280554 14.44 442 443
393 142.56 1 000534.3 +533752 10.80 9274 9501
399 207.97 1 000539.9 -534901 0.00 10883 11194
415 102.33 2 000548.4 +272656 10.98 7193 7330
424 79.07 1 000556.9 -135945 0.00 5413 5491
431 86.30 1 000556.1 +222933 0.00 6267 6371
449 117.49 1 000603.6 -521308 0.00 10011 10275
456 152.05 1 000608.4 -503850 0.00 10079 10346
468 131.83 1 000615.3 -524641 0.00 10573 10867
484 141.25 1 000628.8 -534938 0.00 10851 11161
485 69.50 1 000628.4 -034258 0.00 5850 5940
507 103.75 1 000640.1 +260914 11.06 7218 7355
511 95.94 1 000640.4 +050648 11.22 5010 5076
514 158.49 1 000648.4 -510613 0.00 10076 10344
515 71.45 1 000649.5 +083742 10.58 4897 4960
517 108.14 1 000650.3 +191918 0.00 7543 7694
524 77.62 1 000647.7 +045612 0.00 4947 5011
526 120.78 3 000652.7 -502454 10.83 9508 9746
527 73.11 1 000653.7 +414425 0.00 3950 3991
548 83.56 1 000701.6 +140623 0.00 5093 5162
559 65.46 1 000711.6 +134606 0.00 5052 5119
564 74.13 1 000715.9 +274228 9.83 4218 4266
567 88.31 1 000717.1 +274040 11.24 7209 7347
569 75.16 1 000719.5 +323633 10.29 4761 4821
608 80.91 1 000801.6 +330414 10.36 4571 4626
617 75.51 1 000810.2 +270013 11.65 8438 8626
619 44.06 1 000810.9 +273140 0.00 4303 4352
621 3.21 1 000813.5 -343443 13.00 -40 -40
627 19.14 2 000820.9 -295455 0.00 1210 1214
634 106.17 1 000834.6 -335128 9.47 6529 6641
635 150.66 1 000834.3 -105658 0.00 8767 8970
641 111.69 1 000840.1 -503709 0.00 9837 10092
644 65.46 1 000849.3 +243224 0.00 4237 4284
647 5.73 1 000846.3 +154859 10.87 509 510
650 59.43 1 000847.7 +332600 10.06 4505 4559
654 67.61 1 000904.4 +253706 0.00 4004 4046
659 105.68 1 000903.4 -325451 10.98 6552 6665
690 112.20 1 000948.2 +274955 10.85 7986 8154
695 34.83 1 000952.7 -642217 0.00 1720 1728
698 53.21 2 000953.4 +255525 8.94 4228 4275
701 7.87 3 000956.3 -245749 9.21 250 250
718 70.47 1 001023.4 -070504 0.00 6007 6102
725 86.70 1 001020.0 -462509 9.60 5793 5882
731 145.21 1 001026.4 +285916 11.26 6725 6845
732 68.55 1 001025.9 +254954 10.69 4252 4299
742 100.46 1 001032.7 +285946 10.52 7517 7667
753 129.42 1 001039.2 -564812 0.00 10348 10629
759 63.39 1 001040.9 +325859 10.71 4474 4527
767 77.62 2 001046.9 +332110 10.55 4448 4500
772 156.31 1 001057.0 +253335 11.48 9915 10174
789 92.47 3 001112.6 -333443 10.58 7582 7734
