2M++,2M++,"Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances"
pgc,Ks,Vcmb,Dist,Nd,RAJ,DeJ
%7s,%5.2f,%5d,%6.2f,%1d,%8s,%9s
---,mag,km/s,Mpc,,hms,damas
"The Catalogue of Principal Galaxies (PGC) Number","Apparent Ks 20 mag/as^2 isophote magnitude adjusted for cosmological surface brightness dimming, extinction, filter redshift response, and stellar evolution, as defined by Lavaux and Hudson","Velocity in Cosmic Microwave Background frame","Luminosity distance (weighted average if more than one source)","Number of distance sources","Right Ascension (J2000)","Declination (J2000)"
2,9.65,4739,,,,
4,,,50.58,1,000003.5,+230515
5,10.69,10044,,,,
12,11.75,6178,,,,
14,10.84,11431,,,,
15,12.31,11013,,,,
16,11.76,5359,,,,
18,10.89,5087,,,,
23,11.25,11007,,,,
27,12.15,10921,150.66,1,000023.5,-065610
30,10.26,7887,,,,
31,10.71,5779,,,,
33,12.01,7343,,,,
36,11.18,9475,,,,
39,11.13,11902,,,,
40,11.57,6963,116.95,1,000035.6,-014547
42,12.38,8625,,,,
43,12.19,2936,,,,
45,11.85,20104,,,,
51,,,240.99,1,000035.8,-403432
54,10.70,8366,,,,
55,,,73.79,1,000037.4,+333603
61,12.09,10708,,,,
63,10.48,8426,,,,
64,11.70,15316,211.84,1,000052.3,-355037
65,11.23,5692,,,,
66,11.79,14738,182.81,1,000053.2,-355911
69,11.96,14434,,,,
70,,,117.49,1,000056.1,+202016
73,11.53,6640,,,,
75,10.24,11396,,,,
76,11.17,6562,97.72,1,000058.9,+285441
81,10.15,4961,,,,
82,10.65,9241,114.82,1,000106.0,-535931
90,11.56,11454,,,,
91,11.20,12631,,,,
94,,,67.61,1,000200.9,+803830
99,11.86,9544,,,,
100,11.34,7915,,,,
101,9.99,5005,,,,
102,10.71,4710,,,,
109,10.25,4617,,,,
112,10.47,4436,,,,
114,11.74,14386,134.28,1,000134.1,-361900
115,12.16,14012,188.80,1,000145.3,-042049
120,9.48,4023,,,,
123,11.25,10960,168.27,1,000136.0,-144455
124,,,81.66,1,000136.7,+033020
127,10.84,12530,,,,
129,10.09,3988,,,,
130,11.73,8317,,,,
131,12.27,14012,,,,
140,10.39,8195,,,,
142,11.80,14832,,,,
143,,,0.96,4,000158.2,-152739
145,,,134.28,1,000157.2,-275957
151,11.30,8400,,,,
152,11.50,8777,,,,
154,12.26,8617,,,,
160,11.01,11493,,,,
163,9.97,5171,,,,
164,11.23,8244,,,,
165,,,86.30,1,000223.0,+271238
168,11.06,7288,,,,
172,11.17,8707,,,,
176,11.11,6089,103.28,1,000234.8,-034238
177,10.90,5992,,,,
179,,,71.12,1,000239.9,+084413
181,,,12.13,1,000242.4,-802053
182,11.91,11606,151.36,1,000244.1,-435802
186,11.03,7527,115.88,1,000246.4,+185310
191,11.77,7761,,,,
192,12.00,5876,,,,
195,10.93,6507,,,,
196,11.95,14366,211.84,1,000254.6,-354320
201,,,127.06,1,000257.0,+041231
204,11.76,11580,,,,
205,10.42,6945,105.20,1,000305.7,-015449
206,11.23,4466,,,,
207,10.55,6250,,,,
211,10.42,9597,,,,
212,10.89,10873,206.06,1,000311.2,+155755
213,11.03,14654,,,,
218,,,14.45,3,000314.9,+160844
224,11.76,10137,165.96,1,000321.4,-500450
226,,,92.47,1,000320.4,+083708
233,10.89,11061,,,,
236,11.95,8666,,,,
240,11.12,7350,,,,
242,12.29,10553,,,,
243,10.59,8611,,,,
250,11.03,6906,92.04,2,000335.0,+231202
255,,,19.41,2,000343.2,+151305
259,,,109.14,1,000344.3,+161112
261,10.56,12689,,,,
262,11.75,8796,136.14,1,000348.7,-433706
263,9.72,4879,,,,
265,,,118.58,1,000351.7,-504559
270,11.07,13520,,,,
273,12.26,10855,,,,
275,12.48,16631,,,,
279,8.75,1958,29.38,2,000358.9,+204508
280,11.90,10286,108.64,1,000401.2,-512338
282,,,154.88,1,000401.9,-111007
287,11.69,8943,,,,
291,,,155.60,1,000414.0,-511324
292,11.54,11703,167.49,1,000415.1,-503845
293,11.41,6863,103.75,1,000412.1,-143125
294,11.22,8285,,,,
